Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Option1 Linked To,Option2 Name,Option2 Value,Option2 Linked To,Option3 Name,Option3 Value,Option3 Linked To,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Unit Price Total Measure,Unit Price Total Measure Unit,Unit Price Base Measure,Unit Price Base Measure Unit,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Google Shopping / Google Product Category,Google Shopping / Gender,Google Shopping / Age Group,Google Shopping / MPN,Google Shopping / Condition,Google Shopping / Custom Product,Google Shopping / Custom Label 0,Google Shopping / Custom Label 1,Google Shopping / Custom Label 2,Google Shopping / Custom Label 3,Google Shopping / Custom Label 4,Collapsible Row Heading 1 (product.metafields.custom.collapsible_row_heading_1),Collapsible Row Heading 2 (product.metafields.custom.collapsible_row_heading_2),Collapsible Row Heading 3 (product.metafields.custom.collapsible_row_heading_3),Description Tab (product.metafields.custom.description_tab),Meaning (product.metafields.custom.meaning),Pre-oder Message (product.metafields.custom.pre_oder_message),Test (product.metafields.custom.test),theme.upsell (product.metafields.custom.theme_upsell),title (product.metafields.custom.title),Google: Custom Product (product.metafields.mm-google-shopping.custom_product),Product rating count (product.metafields.reviews.rating_count),Age group (product.metafields.shopify.age-group),Bracelet design (product.metafields.shopify.bracelet-design),Color (product.metafields.shopify.color-pattern),Decoration material (product.metafields.shopify.decoration-material),Jewelry material (product.metafields.shopify.jewelry-material),Jewelry type (product.metafields.shopify.jewelry-type),Target gender (product.metafields.shopify.target-gender),Complementary products (product.metafields.shopify--discovery--product_recommendation.complementary_products),Related products (product.metafields.shopify--discovery--product_recommendation.related_products),Related products settings (product.metafields.shopify--discovery--product_recommendation.related_products_display),Search product boosts (product.metafields.shopify--discovery--product_search_boost.queries),Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item,Status
the-compassion-bracelet,The Compassion Bracelet,<p><span>This bracelet balances <strong>CLARITY</strong> with <strong>COMPASSION</strong>. </span><span><strong>KYANITE</strong> helps you stay focused and true; <strong>ROSE QUARTZ </strong>reminds you to lead with love. Wear it when you want to speak your truth with kindness and strength.</span></p>,XO Maria Louise,Apparel & Accessories > Jewelry > Bracelets,"",Bracelet,true,Title,Default Title,,,,,,,,,0.0,shopify,deny,manual,149.00,,true,true,,,,,"",https://cdn.shopify.com/s/files/1/0664/7198/5288/files/KyaniteandRoseQuartz.png?v=1762372431,1,"",false,,,191,,adult,,,,,,,,,,,,,,,,,,,,adults,beaded,blue-1,,,imitation-jewelry,unisex,,,,,,lb,,,active
the-purpose-transformation-bracelet-copy,The Bold Dreams Bracelet,"<p>This bracelet transforms passion into purpose.</p>
<p><strong>RUBY</strong> awakens your drive and <strong>TANZANITE</strong> elevates your vision. Wear this bracelet when you're ready to rise, evolve and turn your <strong>BOLDEST DREAMS</strong> into your new reality.</p>
<p>Small Tanzanite beads with faceted Ruby beads</p>",XO Maria Louise,Apparel & Accessories > Jewelry > Bracelets,"","Bracelet, New Arrivals",true,Color,grey-tanzanite,product.metafields.shopify.color-pattern,,,,,,,,0.0,shopify,deny,manual,139.00,,true,true,,,,,"",https://cdn.shopify.com/s/files/1/0664/7198/5288/files/small_tanz_and_ruby.pgn.png?v=1764035477,1,"",false,,,191,,,,,,,,,,,,,,,"Vitality, Passion, Power",,,purple-tanzanite-with-gold-balls,Wear This to Transform Passion into Purpose,,,,,grey-tanzanite,,,,,,,,,,lb,,,active
the-unbreakable-strength-bracelet,The Unbreakable Strength Bracelet,"<p><meta charset=""UTF-8""><span><strong>BLACK ONYX </strong>anchors your power. This bracelet shields your energy, sharpens your focus, and <strong>FUELS YOUR DETERMINATION </strong>to keep going. Wear it when you’re ready to lead with strength and unstoppable resolve.</span></p>",XO Maria Louise,Apparel & Accessories > Jewelry > Bracelets,"","Bracelet, New Arrivals",true,Color,black,product.metafields.shopify.color-pattern,,,,,,,,0.0,shopify,deny,manual,119.00,,true,true,,,,,"",https://cdn.shopify.com/s/files/1/0664/7198/5288/files/BlackOnyx-NoCharm.png?v=1762369045,1,"",false,,,191,,adult,,,,,,,,,,,,,"Energy, Strength, Determination",,,citrine-14k-gold,Wear This for Determination,,,adults,beaded,black,,,,unisex,,,,,,lb,,,active
the-peace-bracelet,The Peace Bracelet,"<p><meta charset=""utf-8""><span data-sheets-root=""1""><strong>RAINBOW TOURMALINE</strong> is the gemstone of <strong>HARMONY </strong>and <strong>BALANCE</strong>, aligning your energy and helping you find peace amidst life’s chaos. Wear this bracelet as a reminder of your ability to stay grounded, centered, and strong no matter what comes your way.</span></p>",XO Maria Louise,Apparel & Accessories > Jewelry > Bracelets,"","Bracelet, New Arrivals",true,Color,rainbow-tourmaline,product.metafields.shopify.color-pattern,,,,,,,,0.0,shopify,deny,manual,119.00,,true,true,,,,,"",https://cdn.shopify.com/s/files/1/0664/7198/5288/files/Rainbowtourmaline-brighter.png?v=1764036209,1,"",false,,,191,,adult,,,,,,,,,,,,,"Harmony, Balance, Strength",,,malachite-diamond,Wear This For Balance,,,adults,beaded,rainbow-tourmaline,,,imitation-jewelry,unisex,,,,,,lb,,,active
ruby-1,The Passion Bracelet,"<p><meta charset=""utf-8""><span><strong>RUBY</strong> doesn’t whisper—it roars. This bracelet charges your <strong>CONFIDENCE</strong>, turns up the heat on your desires, and dares you to go after what sets your soul on fire. Wear it when you’re ready to pursue all of your<strong> PASSIONS</strong>.</span></p>
<p><span>These are faceted raw rubies. </span></p>",XO Maria Louise,Apparel & Accessories > Jewelry > Bracelets,"","Bracelet, New Arrivals",true,Color,ruby,product.metafields.shopify.color-pattern,,,,,,,,0.0,shopify,deny,manual,149.00,,true,true,,,,,"",https://cdn.shopify.com/s/files/1/0664/7198/5288/files/Ruby_brighter.png?v=1764037040,1,"",false,,,191,,adult,,,,,,,,,,,,,"Confidence, Passion, Desire",,,blue-sapphire-diamond,Wear This For Confidence,,,adults,beaded,ruby,,,,unisex,,,,,,lb,,,active
the-empowered-bracelet,The Empowered Bracelet,"<p><meta charset=""utf-8""><span><strong>MALACHITE</strong> doesn't ask—it insists. This gemstone clears what no longer serves you and fuels your rise. Wear this bracelet when you’re ready to <strong>BREAK CYCLES</strong>, heal forward, and lead with <strong>EMPOWERED </strong>truth. You didn’t come this far to play small—</span><span>you came to win!</span></p>",XO Maria Louise,Apparel & Accessories > Jewelry > Bracelets,"","Bracelet, New Arrivals",true,Color,malachite,product.metafields.shopify.color-pattern,,,,,,,,0.0,shopify,deny,manual,149.00,,true,true,,,,,"",https://cdn.shopify.com/s/files/1/0664/7198/5288/files/Malachitenocharm.png?v=1762367261,1,"",false,The Empowered Bracelet - Malachite,,191,,,,,,,,,,,,,,,"Transformation, Healing, Empowerment",,,kyanite-love-dove,Wear This for Empowerment,,,,,malachite,,,fine-jewelry,,,,,,,lb,,,active
the-self-love-bracelet,The Self Love Bracelet,"<p><meta charset=""utf-8""><span data-sheets-root=""1""><strong>ROSE QUARTZ</strong> opens your heart without asking for permission. It reminds you to <strong>LOVE</strong> yourself fully, forgive deeply, and lead with compassion. Wear it as a daily act of self-love—and watch how the world reflects it back.</span></p>",XO Maria Louise,Apparel & Accessories > Jewelry > Bracelets,"","Bracelet, New Arrivals",true,Color,rose-quartz,product.metafields.shopify.color-pattern,,,,,,,,0.0,shopify,deny,manual,89.00,,true,true,,,,,"",https://cdn.shopify.com/s/files/1/0664/7198/5288/files/Rose_Quartz_no_balls_brighter.png?v=1762720285,1,"",false,,,191,,adult,,,,,,,,,,,,,"Self-Love, Compassion, Forgiveness",,,kyanite-diamond,Wear This For Self Love,,,adults,beaded,rose-quartz,,,fine-jewelry; imitation-jewelry,unisex,,,,,,lb,,,active
the-self-love-bracelet-with-14k-gold-balls,The Self Love Bracelet with 14K Gold Balls,"<p><meta charset=""utf-8""><span data-sheets-root=""1""><strong>ROSE QUARTZ</strong> opens your heart without asking for permission. It reminds you to <strong>LOVE</strong> yourself fully, forgive deeply, and lead with compassion. Wear it as a daily act of self-love—and watch how the world reflects it back.</span></p>",XO Maria Louise,Apparel & Accessories > Jewelry > Bracelets,"","Bracelet, New Arrivals",true,Color,rose-quartz,product.metafields.shopify.color-pattern,,,,,,,,0.0,shopify,deny,manual,149.00,,true,true,,,,,"",https://cdn.shopify.com/s/files/1/0664/7198/5288/files/Rose_Quartz_with_gold_balls_brighter.png?v=1762720328,1,"",false,,,191,,adult,,,,,,,,,,,,,"Self-Love, Compassion, Forgiveness",,,blue-sapphire-with-diamonds-and-gold-balls,Wear This For Self Love,,,all-ages,beaded,rose-quartz,,14-k-gold,,unisex,,,,,,lb,,,active
the-protector-bracelet,The Protector Bracelet,"<p><strong>TURQUOISE</strong> is more than beautiful, it’s your<strong> GUARDIAN</strong>. This bracelet protects your energy, calms your spirit, and blocks out the noise so you can move through the world with ease and grace.</p>
<p>Wear it as your sacred shield, steady, strong, and unapologetically you.</p>",XO Maria Louise,Apparel & Accessories > Jewelry > Bracelets,"","Bracelet, New Arrivals",true,Color,turquoise,product.metafields.shopify.color-pattern,,,,,,,,0.0,shopify,deny,manual,119.00,,true,true,,,,,"",https://cdn.shopify.com/s/files/1/0664/7198/5288/files/Tourquooise-NoCharm.png?v=1762353796,1,"",false,,,191,,,,,,,,,,,,,,,"Peace, Protection",,,kyanite-love-dove,Wear This As Your Sacred Shield,,,,,turquoise,,,,,,,,,,lb,,,active
the-purpose-transformation-bracelet,The Bold Dreams Bracelet,"<p>This bracelet transforms passion into purpose.</p>
<p><strong>RUBY</strong> awakens your drive and <strong>TANZANITE</strong> elevates your vision. Wear this bracelet when you're ready to rise, evolve and turn your <strong>BOLDEST DREAMS</strong> into your new reality.</p>
<p>Large Tanzanite beads with faceted Ruby beads</p>",XO Maria Louise,Apparel & Accessories > Jewelry > Bracelets,"","Bracelet, New Arrivals",true,Title,Default Title,,,,,,,,,0.0,shopify,deny,manual,169.00,,true,true,,,,,"",https://cdn.shopify.com/s/files/1/0664/7198/5288/files/large_tanz_and_ruby.png?v=1764035337,1,"",false,,,191,,,,,,,,,,,,,,,"Passion, Clarity, Purpose",,,malachite-diamond,Wear This to Transform Passion into Purpose,,,,,grey-tanzanite,,,,,,,,,,lb,,,active
